DocumentFieldName,TableColumnName,DelimitedColumnIndex,FwStartPosition,FwEndPosition,FieldLength,DiscardFlag,LookupType,LookupCategory,LookupInputColumn1,LookupInputColumn2,LookupInputColumn3,LookupInputColumn4,LookupOutputColumn,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_4,Social Studies Item Student Response 4,,1656,1656,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_5,Social Studies Item Student Response 5,,1657,1657,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_6,Social Studies Item Student Response 6,,1658,1658,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_7,Social Studies Item Student Response 7,,1659,1659,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_8,Social Studies Item Student Response 8,,1660,1660,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_9,Social Studies Item Student Response 9,,1661,1661,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_10,Social Studies Item Student Response 10,,1662,1662,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_11,Social Studies Item Student Response 11,,1663,1663,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_12,Social Studies Item Student Response 12,,1664,1664,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_13,Social Studies Item Student Response 13,,1665,1665,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_14,Social Studies Item Student Response 14,,1666,1666,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_15,Social Studies Item Student Response 15,,1667,1667,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_16,Social Studies Item Student Response 16,,1668,1668,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_17,Social Studies Item Student Response 17,,1669,1669,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_18,Social Studies Item Student Response 18,,1670,1670,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_19,Social Studies Item Student Response 19,,1671,1671,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_20,Social Studies Item Student Response 20,,1672,1672,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_21,Social Studies Item Student Response 21,,1673,1673,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_22,Social Studies Item Student Response 22,,1674,1674,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_23,Social Studies Item Student Response 23,,1675,1675,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_24,Social Studies Item Student Response 24,,1676,1676,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_25,Social Studies Item Student Response 25,,1677,1677,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_26,Social Studies Item Student Response 26,,1678,1678,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_27,Social Studies Item Student Response 27,,1679,1679,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_28,Social Studies Item Student Response 28,,1680,1680,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_29,Social Studies Item Student Response 29,,1681,1681,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_30,Social Studies Item Student Response 30,,1682,1682,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_31,Social Studies Item Student Response 31,,1683,1683,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_32,Social Studies Item Student Response 32,,1684,1684,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_33,Social Studies Item Student Response 33,,1685,1685,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_34,Social Studies Item Student Response 34,,1686,1686,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_35,Social Studies Item Student Response 35,,1687,1687,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_36,Social Studies Item Student Response 36,,1688,1688,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_37,Social Studies Item Student Response 37,,1689,1689,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_38,Social Studies Item Student Response 38,,1690,1690,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_39,Social Studies Item Student Response 39,,1691,1691,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_40,Social Studies Item Student Response 40,,1692,1692,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_41,Social Studies Item Student Response 41,,1693,1693,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_42,Social Studies Item Student Response 42,,1694,1694,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_43,Social Studies Item Student Response 43,,1695,1695,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_STUDENT_RESPONSE_44,Social Studies Item Student Response 44,,1696,1696,1,,,,,,,,,,,
BLANK,Blank,,1697,1704,8,Y,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_1,Social Studies Item Correct Response 1,,1705,1705,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_2,Social Studies Item Correct Response 2,,1706,1706,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_3,Social Studies Item Correct Response 3,,1707,1707,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_4,Social Studies Item Correct Response 4,,1708,1708,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_5,Social Studies Item Correct Response 5,,1709,1709,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_6,Social Studies Item Correct Response 6,,1710,1710,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_7,Social Studies Item Correct Response 7,,1711,1711,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_8,Social Studies Item Correct Response 8,,1712,1712,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_9,Social Studies Item Correct Response 9,,1713,1713,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_10,Social Studies Item Correct Response 10,,1714,1714,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_11,Social Studies Item Correct Response 11,,1715,1715,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_12,Social Studies Item Correct Response 12,,1716,1716,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_13,Social Studies Item Correct Response 13,,1717,1717,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_14,Social Studies Item Correct Response 14,,1718,1718,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_15,Social Studies Item Correct Response 15,,1719,1719,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_16,Social Studies Item Correct Response 16,,1720,1720,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_17,Social Studies Item Correct Response 17,,1721,1721,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_18,Social Studies Item Correct Response 18,,1722,1722,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_19,Social Studies Item Correct Response 19,,1723,1723,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_20,Social Studies Item Correct Response 20,,1724,1724,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_21,Social Studies Item Correct Response 21,,1725,1725,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_22,Social Studies Item Correct Response 22,,1726,1726,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_23,Social Studies Item Correct Response 23,,1727,1727,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_24,Social Studies Item Correct Response 24,,1728,1728,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_25,Social Studies Item Correct Response 25,,1729,1729,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_26,Social Studies Item Correct Response 26,,1730,1730,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_27,Social Studies Item Correct Response 27,,1731,1731,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_28,Social Studies Item Correct Response 28,,1732,1732,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_29,Social Studies Item Correct Response 29,,1733,1733,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_30,Social Studies Item Correct Response 30,,1734,1734,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_31,Social Studies Item Correct Response 31,,1735,1735,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_32,Social Studies Item Correct Response 32,,1736,1736,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_33,Social Studies Item Correct Response 33,,1737,1737,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_34,Social Studies Item Correct Response 34,,1738,1738,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_35,Social Studies Item Correct Response 35,,1739,1739,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_36,Social Studies Item Correct Response 36,,1740,1740,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_37,Social Studies Item Correct Response 37,,1741,1741,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_38,Social Studies Item Correct Response 38,,1742,1742,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_39,Social Studies Item Correct Response 39,,1743,1743,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_40,Social Studies Item Correct Response 40,,1744,1744,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_41,Social Studies Item Correct Response 41,,1745,1745,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_42,Social Studies Item Correct Response 42,,1746,1746,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_43,Social Studies Item Correct Response 43,,1747,1747,1,,,,,,,,,,,
SOCIAL_STUDIES_ITEM_CORRECT_RESPONSE_44,Social Studies Item Correct Response 44,,1748,1748,1,,,,,,,,,,,
BLANK,Blank,,1749,1756,8,Y,,,,,,,,,,
SOCIAL_STUDIES_PERCENTILE,Social Studies Percentile,,1757,1759,3,,,,,,,,,,,
BLANK,Blank,,1760,1900,141,Y,,,,,,,,,,
SCIENCE_REPORTING_CATEGORY_SCORES,Science Reporting Category Scores,,1901,1908,8,,,,,,,,,,,
SCIENCE_RAW_SCORE,Science Raw Score,,1909,1910,2,,,,,,,,,,,
SCIENCE_SCALE_SCORE,Science Scale Score,,1911,1914,4,,,,,,,,,,,
SCIENCE_LANGUAGE_VERSION,Science Language Version,,1915,1915,1,,,,,,,,,,,
,Science Language Version Desc,,,,7,,ExactCodeLookup,LanguageVersion,Science Language Version,,,,OutputValue1,,,
SCIENCE_TEST_VERSION,Science Test Version,,1916,1916,1,,,,,,,,,,,
,Science Test Version Desc,,,,5,,ExactCodeLookup,TestVersion,Science Test Version,,,,OutputValue1,,,
SCIENCE_TEST_ADMINISTRATION_MODE,Science Test Administration Mode,,1917,1917,1,,,,,,,,,,,
,Science Test Administration Mode Desc,,,,26,,ExactCodeLookup,TestAdministrationMode,Science Test Administration Mode,,,,OutputValue1,,,
BLANK,Blank,,1918,1924,7,Y,,,,,,,,,,
MEETS_GRADE_LEVEL_IN_SCIENCE,Meets Grade Level in Science,,1925,1925,1,,,,,,,,,,,
APPROACHES_GRADE_LEVEL_IN_SCIENCE,Aproaches Grade Level in Science,,1926,1926,1,,,,,,,,,,,
MASTERS_GRADE_LEVEL_IN_SCIENCE,Masters Grade Level in Science,,1927,1927,1,,,,,,,,,,,
,Science Proficency Level ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Meets Grade Level in Science,Aproaches Grade Level in Science,Masters Grade Level in Science,,OutputValue1,,,
,Science Proficency Level Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Meets Grade Level in Science,Aproaches Grade Level in Science,Masters Grade Level in Science,,OutputValue2,,,
BLANK,Blank,,1928,2000,73,Y,,,,,,,,,,
SCIENCE_ITEM_REPORTING_CATEGORY_NUMBERS,Science Item Reporting Category Numbers,,2001,2042,42,,,,,,,,,,,
BLANK,Blank,,2043,2054,12,Y,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_1,Science Item Student Response 1,,2055,2055,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_2,Science Item Student Response 2,,2056,2056,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_3,Science Item Student Response 3,,2057,2057,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_4,Science Item Student Response 4,,2058,2058,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_5,Science Item Student Response 5,,2059,2059,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_6,Science Item Student Response 6,,2060,2060,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_7,Science Item Student Response 7,,2061,2061,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_8,Science Item Student Response 8,,2062,2062,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_9,Science Item Student Response 9,,2063,2063,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_10,Science Item Student Response 10,,2064,2064,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_11,Science Item Student Response 11,,2065,2065,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_12,Science Item Student Response 12,,2066,2066,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_13,Science Item Student Response 13,,2067,2067,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_14,Science Item Student Response 14,,2068,2068,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_15,Science Item Student Response 15,,2069,2069,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_16,Science Item Student Response 16,,2070,2070,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_17,Science Item Student Response 17,,2071,2071,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_18,Science Item Student Response 18,,2072,2072,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_19,Science Item Student Response 19,,2073,2073,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_20,Science Item Student Response 20,,2074,2074,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_21,Science Item Student Response 21,,2075,2075,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_22,Science Item Student Response 22,,2076,2076,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_23,Science Item Student Response 23,,2077,2077,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_24,Science Item Student Response 24,,2078,2078,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_25,Science Item Student Response 25,,2079,2079,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_26,Science Item Student Response 26,,2080,2080,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_27,Science Item Student Response 27,,2081,2081,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_28,Science Item Student Response 28,,2082,2082,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_29,Science Item Student Response 29,,2083,2083,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_30,Science Item Student Response 30,,2084,2084,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_31,Science Item Student Response 31,,2085,2085,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_32,Science Item Student Response 32,,2086,2086,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_33,Science Item Student Response 33,,2087,2087,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_34,Science Item Student Response 34,,2088,2088,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_35,Science Item Student Response 35,,2089,2089,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_36,Science Item Student Response 36,,2090,2090,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_37,Science Item Student Response 37,,2091,2091,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_38,Science Item Student Response 38,,2092,2092,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_39,Science Item Student Response 39,,2093,2093,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_40,Science Item Student Response 40,,2094,2094,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_41,Science Item Student Response 41,,2095,2095,1,,,,,,,,,,,
SCIENCE_ITEM_STUDENT_RESPONSE_42,Science Item Student Response 42,,2096,2096,1,,,,,,,,,,,
BLANK,Blank,,2097,2108,12,Y,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_1,Science Item Correct Response 1,,2109,2109,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_2,Science Item Correct Response 2,,2110,2110,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_3,Science Item Correct Response 3,,2111,2111,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_4,Science Item Correct Response 4,,2112,2112,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_5,Science Item Correct Response 5,,2113,2113,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_6,Science Item Correct Response 6,,2114,2114,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_7,Science Item Correct Response 7,,2115,2115,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_8,Science Item Correct Response 8,,2116,2116,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_9,Science Item Correct Response 9,,2117,2117,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_10,Science Item Correct Response 10,,2118,2118,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_11,Science Item Correct Response 11,,2119,2119,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_12,Science Item Correct Response 12,,2120,2120,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_13,Science Item Correct Response 13,,2121,2121,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_14,Science Item Correct Response 14,,2122,2122,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_15,Science Item Correct Response 15,,2123,2123,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_16,Science Item Correct Response 16,,2124,2124,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_17,Science Item Correct Response 17,,2125,2125,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_18,Science Item Correct Response 18,,2126,2126,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_19,Science Item Correct Response 19,,2127,2127,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_20,Science Item Correct Response 20,,2128,2128,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_21,Science Item Correct Response 21,,2129,2129,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_22,Science Item Correct Response 22,,2130,2130,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_23,Science Item Correct Response 23,,2131,2131,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_24,Science Item Correct Response 24,,2132,2132,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_25,Science Item Correct Response 25,,2133,2133,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_26,Science Item Correct Response 26,,2134,2134,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_27,Science Item Correct Response 27,,2135,2135,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_28,Science Item Correct Response 28,,2136,2136,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_29,Science Item Correct Response 29,,2137,2137,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_30,Science Item Correct Response 30,,2138,2138,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_31,Science Item Correct Response 31,,2139,2139,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_32,Science Item Correct Response 32,,2140,2140,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_33,Science Item Correct Response 33,,2141,2141,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_34,Science Item Correct Response 34,,2142,2142,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_35,Science Item Correct Response 35,,2143,2143,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_36,Science Item Correct Response 36,,2144,2144,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_37,Science Item Correct Response 37,,2145,2145,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_38,Science Item Correct Response 38,,2146,2146,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_39,Science Item Correct Response 39,,2147,2147,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_40,Science Item Correct Response 40,,2148,2148,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_41,Science Item Correct Response 41,,2149,2149,1,,,,,,,,,,,
SCIENCE_ITEM_CORRECT_RESPONSE_42,Science Item Correct Response 42,,2150,2150,1,,,,,,,,,,,
BLANK,Blank,,2151,2162,12,Y,,,,,,,,,,
SCIENCE_PERCENTILE,Science Percentile,,2163,2165,3,,,,,,,,,,,
BLANK,Blank,,2166,2250,85,Y,,,,,,,,,,
READING_COUNTY_DISTRICT_CAMPUS_NUMBER_CURR_YR,Reading County District Campus Number Current Year,,2251,2259,9,,,,,,,,,,,
READING_LANGUAGE_VERSION_CURR_YR,Reading Language Version Current Year,,2260,2260,1,,,,,,,,,,,
,Reading Language Version Current Year Desc,,,,7,,ExactCodeLookup,LanguageVersion,Reading Language Version Current Year,,,,OutputValue1,,,
READING_TEST_VERSION_CURR_YR,Reading Test Version Current Year,,2261,2261,1,,,,,,,,,,,
,Reading Test Version Current Year Desc,,,,5,,ExactCodeLookup,TestVersion,Reading Test Version Current Year,,,,OutputValue1,,,
READING_SCORE_CODE_CURR_YR,Reading Score Code Current Year,,2262,2262,1,,,,,,,,,,,
READING_APPROACHES_GRADE_LEVEL_CURR_YR,Reading Approaches Grade Level Current Year,,2263,2263,1,,,,,,,,,,,
READING_MASTERS_GRADE_LEVEL_CURR_YR,Reading Masters Grade Level Current Year,,2264,2264,1,,,,,,,,,,,
READING_SCALE_SCORE_CURR_YR,Reading Scale Score Current Year,,2265,2268,4,,,,,,,,,,,
READING_STAAR_PROGRESS_MEASURE_CURR_YR,Reading STAAR Progress Measure Current Year,,2269,2269,1,,,,,,,,,,,
,Reading STAAR Progress Measure Current Year Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Reading STAAR Progress Measure Current Year,,,,OutputValue1,,,
BLANK,Blank,,2270,2270,1,Y,,,,,,,,,,
READING_LEXILE_MEASURE_CURR_YR,Reading Lexile Measure Current Year,,2271,2275,5,,,,,,,,,,,
READING_MEETS_GRADE_LEVEL_CURR_YR,Reading Meets Grade Level Current Year,,2276,2276,1,,,,,,,,,,,
READING_PERCENTILE_CURR_YR,Reading Percentile Current Year,,2277,2279,3,,,,,,,,,,,
,Reading Proficency Level Current Year  ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Current Year,Reading Approaches Grade Level Current Year,Reading Masters Grade Level Current Year,,OutputValue1,,,
,Reading Proficency Level Current Year Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Reading Meets Grade Level Current Year,Reading Approaches Grade Level Current Year,Reading Masters Grade Level Current Year,,OutputValue2,,,
BLANK,Blank,,2280,2280,1,Y,,,,,,,,,,
READING_COUNTY_DISTRICT_CAMPUS_NUMBER_CURR_YR_MAY_RETEST,Reading County District Campus Number Current Year May Retest,,2281,2289,9,,,,,,,,,,,
READING_LANGUAGE_VERSION_CURR_YR_MAY_RETEST,Reading Language Version Current Year May Retest,,2290,2290,1,,,,,,,,,,,
,Reading Language Version Current Year May Retest Desc,,,,7,,ExactCodeLookup,LanguageVersion,Reading Language Version Current Year May Retest,,,,OutputValue1,,,
READING_TEST_VERSION_CURR_YR_MAY_RETEST,Reading Test Version Current Year May Retest,,2291,2291,1,,,,,,,,,,,
,Reading Test Version Current Year May Retest Desc,,,,5,,ExactCodeLookup,TestVersion,Reading Test Version Current Year May Retest,,,,OutputValue1,,,
READING_SCORE_CODE_CURR_YR_MAY_RETEST,Reading Score Code Current Year May Retest,,2292,2292,1,,,,,,,,,,,
READING_APPROACHES_GRADE_LEVEL_CURR_YR_MAY_RETEST,Reading Approaches Grade Level Current Year May Retest,,2293,2293,1,,,,,,,,,,,
READING_MASTERS_GRADE_LEVEL_CURR_YR_MAY_RETEST,Reading Masters Grade Level Current Year May Retest,,2294,2294,1,,,,,,,,,,,
READING_SCALE_SCORE_CURR_YR_MAY_RETEST,Reading Scale Score Current Year May Retest,,2295,2298,4,,,,,,,,,,,
READING_STAAR_PROGRESS_MEASURE_CURR_YR_MAY_RETEST,Reading STAAR Progress Measure Current Year May Retest,,2299,2299,1,,,,,,,,,,,
,Reading STAAR Progress Measure Current Year May Retest Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Reading STAAR Progress Measure Current Year May Retest,,,,OutputValue1,,,
